dx,dy,button,rx,ry,time,distance,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY,targetID
-1,1,0,-0.6899999976158142,0.6899999976158142,0.6533520221710205,-15.133931252681494,10,11,1846,994,61,683,59,13
-1,0,0,-0.6899999976158142,-0.0,0.6614170074462891,-15.133931252681494,10,11,1846,994,61,683,59,13
-1,0,0,-0.6899999976158142,-0.0,0.6694250106811523,-15.133931252681494,10,11,1846,994,61,683,59,13
-2,0,0,-1.5800000429153442,-0.0,0.6775050163269043,-14.443650813895955,11,11,1846,994,61,683,59,13
-1,0,0,-0.6899999976158142,-0.0,0.6854231357574463,-14.443650813895955,11,11,1846,994,61,683,59,13
0,0,1,-0.0,-0.0,0.7335569858551025,-14.443650813895955,11,11,1846,994,61,683,59,13
0,0,0,-0.0,-0.0,0.08706879615783691,1531.8983235720411,-1306,-842,529,141,45,1835,983,14
-7,-2,0,-8.260000467300415,-2.3600001335144043,0.13512492179870605,1524.0931407906835,-1298,-840,529,141,45,1835,983,14
-8,-5,0,-10.186666488647461,-6.366666555404663,0.14313793182373047,1512.4380078712857,-1288,-834,529,141,45,1835,983,14
-11,-7,0,-15.103846073150635,-9.611538410186768,0.1512458324432373,1494.9555036321929,-1273,-825,529,141,45,1835,983,14
-11,-6,0,-14.895832896232605,-8.124999761581421,0.1593928337097168,1478.8564221803497,-1259,-817,529,141,45,1835,983,14
-13,-7,0,-18.822142839431763,-10.134999990463257,0.16719293594360352,1458.3141558466568,-1241,-807,529,141,45,1835,983,14
-15,-9,0,-26.6294127702713,-15.97764766216278,0.17532587051391602,1428.340994387182,-1215,-792,529,141,45,1835,983,14
-19,-11,0,-39.25761914253235,-22.728095293045044,0.18323183059692383,1383.6585645170026,-1176,-770,529,141,45,1835,983,14
-18,-11,0,-37.191428661346436,-22.728095293045044,0.19110894203186035,1340.6536610599187,-1139,-748,529,141,45,1835,983,14
-20,-14,0,-44.40833568572998,-31.085834980010986,0.1990349292755127,1286.8598091468773,-1095,-717,529,141,45,1835,983,14
-22,-14,0,-50.676154136657715,-32.24846172332764,0.20708990097045898,1227.49989995998,-1045,-685,529,141,45,1835,983,14
-21,-15,0,-47.5356023311615,-33.954001665115356,0.215087890625,1170.1023445996573,-998,-652,529,141,45,1835,983,14
-21,-14,0,-47.5356023311615,-31.690401554107666,0.22341585159301758,1113.8001584785943,-951,-621,529,141,45,1835,983,14
-24,-13,0,-56.17777633666992,-30.42962884902954,0.23204588890075684,1050.5231932224124,-895,-591,529,141,45,1835,983,14
-23,-13,0,-52.979615688323975,-29.945000171661377,0.23914790153503418,991.159908405381,-843,-562,529,141,45,1835,983,14
-23,-13,0,-52.979615688323975,-29.945000171661377,0.24718379974365234,931.8186410424154,-791,-533,529,141,45,1835,983,14
-24,-14,0,-56.17777633666992,-32.77036952972412,0.25513601303100586,867.5088532443058,-735,-501,529,141,45,1835,983,14
-22,-12,0,-49.79920244216919,-27.163201332092285,0.2631399631500244,811.8297188275313,-686,-474,529,141,45,1835,983,14
-20,-11,0,-42.445454597473145,-23.34500002861023,0.2710118293762207,764.2168911947898,-644,-451,529,141,45,1835,983,14
-19,-12,0,-40.32318186759949,-25.467272758483887,0.27906298637390137,717.1156878324259,-604,-426,529,141,45,1835,983,14
-19,-11,0,-39.25761914253235,-22.728095293045044,0.28707194328308105,672.5797290448376,-565,-404,529,141,45,1835,983,14
-18,-10,0,-36.08099842071533,-20.04499912261963,0.2951619625091553,631.6795851179689,-529,-384,529,141,45,1835,983,14
-16,-9,0,-29.768890380859375,-16.7450008392334,0.3035409450531006,598.8252572181644,-500,-368,529,141,45,1835,983,14
-17,-10,0,-32.90842092037201,-19.35789465904236,0.3111438751220703,561.8021925275718,-468,-349,529,141,45,1835,983,14
-15,-9,0,-26.6294127702713,-15.97764766216278,0.31917881965637207,532.0036100965408,-442,-334,529,141,45,1835,983,14
-14,-10,0,-24.854118585586548,-17.752941846847534,0.32708001136779785,502.6074723066762,-418,-317,529,141,45,1835,983,14
-13,-9,0,-20.444666385650635,-14.15399980545044,0.33506298065185547,478.21295465031693,-398,-303,529,141,45,1835,983,14
-13,-10,0,-21.839999318122864,-16.799999475479126,0.34319400787353516,451.81219908313886,-377,-287,529,141,45,1835,983,14
-12,-9,0,-18.871999740600586,-14.15399980545044,0.35104894638061523,429.00997771667977,-359,-273,529,141,45,1835,983,14
-11,-8,0,-15.103846073150635,-10.984615325927734,0.35904383659362793,411.01847535642173,-344,-263,529,141,45,1835,983,14
-8,-7,0,-10.447999954223633,-9.141999959945679,0.36704397201538086,397.60934212669764,-334,-254,529,141,45,1835,983,14
-9,-8,0,-12.187499642372131,-10.833333015441895,0.3757669925689697,382.00495046471895,-322,-244,529,141,45,1835,983,14
-8,-7,0,-10.447999954223633,-9.141999959945679,0.38330793380737305,368.600819251573,-312,-235,529,141,45,1835,983,14
-7,-6,0,-8.913333177566528,-7.639999866485596,0.39121198654174805,358.0,-304,-228,529,141,45,1835,983,14
-8,-6,0,-10.447999954223633,-7.835999965667725,0.39894580841064453,345.8002175094517,-294,-221,529,141,45,1835,983,14
-6,-6,0,-7.394999742507935,-7.394999742507935,0.4072299003601074,336.00139664532037,-287,-214,529,141,45,1835,983,14
-6,-7,0,-7.639999866485596,-8.913333177566528,0.4149928092956543,325.6147292621531,-280,-206,529,141,45,1835,983,14
-5,-7,0,-6.162499785423279,-8.62749969959259,0.4230368137359619,316.0532502432124,-274,-198,529,141,45,1835,983,14
-5,-6,0,-5.900000333786011,-7.080000400543213,0.4311408996582031,307.9121095079718,-269,-191,529,141,45,1835,983,14
-5,-7,0,-6.162499785423279,-8.62749969959259,0.4390239715576172,298.40287139786994,-263,-183,529,141,45,1835,983,14
-5,-7,0,-6.162499785423279,-8.62749969959259,0.4471428394317627,288.92442811718735,-257,-175,529,141,45,1835,983,14
-4,-6,0,-4.720000267028809,-7.080000400543213,0.4550039768218994,281.6988640084121,-253,-168,529,141,45,1835,983,14
-6,-7,0,-7.639999866485596,-8.913333177566528,0.46303892135620117,271.4552776829887,-246,-160,529,141,45,1835,983,14
-5,-6,0,-5.900000333786011,-7.080000400543213,0.4709329605102539,263.4645336990219,-241,-153,529,141,45,1835,983,14
-5,-6,0,-5.900000333786011,-7.080000400543213,0.4792020320892334,255.51036016696747,-236,-146,529,141,45,1835,983,14
-6,-7,0,-7.639999866485596,-8.913333177566528,0.487123966217041,245.36678926149375,-229,-138,529,141,45,1835,983,14
-5,-5,0,-5.900000333786011,-5.900000333786011,0.49515295028686523,238.50911692299752,-224,-133,529,141,45,1835,983,14
-6,-6,0,-7.394999742507935,-7.394999742507935,0.5031399726867676,228.92827660508888,-217,-126,529,141,45,1835,983,14
-6,-6,0,-7.394999742507935,-7.394999742507935,0.5109288692474365,219.37315509393335,-210,-119,529,141,45,1835,983,14
-7,-7,0,-8.913333177566528,-8.913333177566528,0.5190768241882324,208.4886114323222,-202,-111,529,141,45,1835,983,14
-8,-6,0,-10.447999954223633,-7.835999965667725,0.5270569324493408,196.3575050232989,-192,-104,529,141,45,1835,983,14
-8,-6,0,-10.447999954223633,-7.835999965667725,0.5350418090820312,184.23530250662714,-182,-97,529,141,45,1835,983,14
-9,-5,0,-11.753999948501587,-6.5299999713897705,0.5431008338928223,171.70596273734063,-171,-91,529,141,45,1835,983,14
-8,-6,0,-10.447999954223633,-7.835999965667725,0.5511438846588135,159.59570479501986,-161,-84,529,141,45,1835,983,14
-10,-5,0,-13.318181037902832,-6.659090518951416,0.5590469837188721,145.29614460590537,-148,-78,529,141,45,1835,983,14
-8,-4,0,-9.859999656677246,-4.929999828338623,0.5669538974761963,135.47063218263906,-139,-74,529,141,45,1835,983,14
-6,-4,0,-7.080000400543213,-4.720000267028809,0.5750110149383545,127.41218156495808,-132,-70,529,141,45,1835,983,14
-8,-5,0,-10.186666488647461,-6.366666555404663,0.5831949710845947,115.7679207943562,-122,-64,529,141,45,1835,983,14
-8,-4,0,-9.859999656677246,-4.929999828338623,0.5910379886627197,105.94139283281233,-113,-60,529,141,45,1835,983,14
-6,-3,0,-6.670000076293945,-3.3350000381469727,0.599078893661499,99.23530838827442,-107,-57,529,141,45,1835,983,14
-7,-4,0,-8.62749969959259,-4.929999828338623,0.6070477962493896,90.29425630903836,-99,-53,529,141,45,1835,983,14
