dx,dy,rx,ry,button,time,targetX,targetY,targetSize,distance,directionX,directionY
-1,0,-0.5799999833106995,-0.0,1,0.08780860900878906,1425,821,53,1518.0490769405317,1292,797
0,0,-0.0,-0.0,0,0.09280872344970703,1425,821,53,1518.0490769405317,1292,797
-1,0,-0.5799999833106995,-0.0,0,0.11749958992004395,1425,821,53,1518.0490769405317,1292,797
0,1,-0.0,0.5799999833106995,0,0.13974857330322266,1425,821,53,1518.0490769405317,1292,797
-1,0,-0.5799999833106995,-0.0,0,0.14490056037902832,1425,821,53,1518.0490769405317,1292,797
0,1,-0.0,0.5799999833106995,0,0.15157771110534668,1425,821,53,1518.0490769405317,1292,797
-1,0,-0.5799999833106995,-0.0,0,0.15777373313903809,1425,821,53,1518.0490769405317,1292,797
0,1,-0.0,0.5799999833106995,0,0.16266155242919922,1425,821,53,1518.0490769405317,1292,797
-1,0,-0.5799999833106995,-0.0,0,0.16744756698608398,1425,821,53,1518.0490769405317,1292,797
0,1,-0.0,0.5799999833106995,0,0.1715986728668213,1425,821,53,1518.0490769405317,1292,797
0,1,-0.0,0.5799999833106995,0,0.17567777633666992,1425,821,53,1518.0490769405317,1292,797
-1,0,-0.5799999833106995,-0.0,0,0.18030357360839844,1425,821,53,1518.0490769405317,1292,797
0,1,-0.0,0.5799999833106995,0,0.18031668663024902,1425,821,53,1518.0490769405317,1292,797
0,1,-0.0,0.5799999833106995,0,0.18157076835632324,1425,821,53,1518.0490769405317,1292,797
-1,1,-0.5799999833106995,0.5799999833106995,0,0.18566155433654785,1425,821,53,1518.0490769405317,1292,797
0,1,-0.0,0.5799999833106995,0,0.18997859954833984,1425,821,53,1518.0490769405317,1292,797
0,1,-0.0,0.5799999833106995,0,0.18999075889587402,1425,821,53,1518.0490769405317,1292,797
0,1,-0.0,0.5799999833106995,0,0.19161057472229004,1425,821,53,1518.0490769405317,1292,797
0,1,-0.0,0.5799999833106995,0,0.19368958473205566,1425,821,53,1518.0490769405317,1292,797
-1,1,-0.5799999833106995,0.5799999833106995,0,0.19905471801757812,1425,821,53,1518.0490769405317,1292,797
0,1,-0.0,0.5799999833106995,0,0.19907474517822266,1425,821,53,1518.0490769405317,1292,797
0,1,-0.0,0.5799999833106995,0,0.19953465461730957,1425,821,53,1518.0490769405317,1292,797
0,1,-0.0,0.5799999833106995,0,0.20154666900634766,1425,821,53,1518.0490769405317,1292,797
0,1,-0.0,0.5799999833106995,0,0.20771265029907227,1425,821,53,1518.0490769405317,1292,797
-1,1,-0.5799999833106995,0.5799999833106995,0,0.2083115577697754,1425,821,53,1518.0490769405317,1292,797
0,1,-0.0,0.5799999833106995,0,0.2083437442779541,1425,821,53,1518.0490769405317,1292,797
0,2,-0.0,1.309999942779541,0,0.20954370498657227,1425,821,53,1518.0490769405317,1292,797
0,1,-0.0,0.5799999833106995,0,0.21153974533081055,1425,821,53,1518.0490769405317,1292,797
0,2,-0.0,1.309999942779541,0,0.21544957160949707,1425,821,53,1518.0490769405317,1292,797
0,1,-0.0,0.5799999833106995,0,0.2154686450958252,1425,821,53,1518.0490769405317,1292,797
1,2,0.6549999713897705,1.309999942779541,0,0.21738672256469727,1425,821,53,1518.0490769405317,1292,797
0,2,-0.0,1.309999942779541,0,0.21944260597229004,1425,821,53,1518.0490769405317,1292,797
1,2,0.6549999713897705,1.309999942779541,0,0.22674155235290527,1425,821,53,1518.0490769405317,1292,797
1,2,0.6549999713897705,1.309999942779541,0,0.22675561904907227,1425,821,53,1518.0490769405317,1292,797
1,2,0.6549999713897705,1.309999942779541,0,0.23279356956481934,1425,821,53,1518.0490769405317,1292,797
1,3,0.7266666889190674,2.180000066757202,0,0.2328047752380371,1425,821,53,1518.0490769405317,1292,797
2,3,1.4533333778381348,2.180000066757202,0,0.23281359672546387,1425,821,53,1518.0490769405317,1292,797
1,2,0.6549999713897705,1.309999942779541,0,0.23291468620300293,1425,821,53,1518.0490769405317,1292,797
2,3,1.4533333778381348,2.180000066757202,0,0.23339271545410156,1425,821,53,1518.0490769405317,1292,797
3,4,2.531999945640564,3.375999927520752,0,0.2354447841644287,1425,821,53,1518.0490769405317,1292,797
3,3,2.3024999499320984,2.3024999499320984,0,0.23766756057739258,1425,821,53,1518.0490769405317,1292,797
3,4,2.531999945640564,3.375999927520752,0,0.24309468269348145,1425,821,53,1518.0490769405317,1292,797
4,4,3.375999927520752,3.375999927520752,0,0.24325060844421387,1425,821,53,1518.0490769405317,1292,797
3,5,2.531999945640564,4.21999990940094,0,0.2435927391052246,1425,821,53,1518.0490769405317,1292,797
5,4,4.633333384990692,3.7066667079925537,0,0.24559855461120605,1425,821,53,1518.0490769405317,1292,797
5,4,4.633333384990692,3.7066667079925537,0,0.2503225803375244,1425,821,53,1518.0490769405317,1292,797
5,5,4.914285838603973,4.914285838603973,0,0.250335693359375,1425,821,53,1518.0490769405317,1292,797
7,5,7.1925002336502075,5.137500166893005,0,0.2515387535095215,1425,821,53,1518.0490769405317,1292,797
6,5,5.897143006324768,4.914285838603973,0,0.2537705898284912,1425,821,53,1518.0490769405317,1292,797
7,6,7.427777647972107,6.366666555404663,0,0.260312557220459,1425,821,53,1518.0490769405317,1292,797
7,5,7.1925002336502075,5.137500166893005,0,0.260927677154541,1425,821,53,1518.0490769405317,1292,797
8,5,8.48888874053955,5.305555462837219,0,0.2609386444091797,1425,821,53,1518.0490769405317,1292,797
9,6,9.792000532150269,6.528000354766846,0,0.26157164573669434,1425,821,53,1518.0490769405317,1292,797
8,6,8.704000473022461,6.528000354766846,0,0.26349568367004395,1425,821,53,1518.0490769405317,1292,797
9,5,9.792000532150269,5.440000295639038,0,0.26797056198120117,1425,821,53,1518.0490769405317,1292,797
10,6,11.100000143051147,6.6600000858306885,0,0.26798272132873535,1425,821,53,1518.0490769405317,1292,797
9,6,9.792000532150269,6.528000354766846,0,0.2698376178741455,1425,821,53,1518.0490769405317,1292,797
10,6,11.100000143051147,6.6600000858306885,0,0.2717597484588623,1425,821,53,1518.0490769405317,1292,797
11,6,12.411666631698608,6.769999980926514,0,0.27771568298339844,1425,821,53,1518.0490769405317,1292,797
11,6,12.411666631698608,6.769999980926514,0,0.27815675735473633,1425,821,53,1518.0490769405317,1292,797
11,7,12.582307696342468,8.006923079490662,0,0.278167724609375,1425,821,53,1518.0490769405317,1292,797
11,6,12.411666631698608,6.769999980926514,0,0.2795577049255371,1425,821,53,1518.0490769405317,1292,797
11,6,12.411666631698608,6.769999980926514,0,0.28153371810913086,1425,821,53,1518.0490769405317,1292,797
11,7,12.582307696342468,8.006923079490662,0,0.28606557846069336,1425,821,53,1518.0490769405317,1292,797
13,6,15.692856788635254,7.242856979370117,0,0.28607773780822754,1425,821,53,1518.0490769405317,1292,797
11,7,12.582307696342468,8.006923079490662,0,0.2877826690673828,1425,821,53,1518.0490769405317,1292,797
12,7,13.72615385055542,8.006923079490662,0,0.2895936965942383,1425,821,53,1518.0490769405317,1292,797
12,6,13.72615385055542,6.86307692527771,0,0.29614877700805664,1425,821,53,1518.0490769405317,1292,797
12,7,13.72615385055542,8.006923079490662,0,0.29672861099243164,1425,821,53,1518.0490769405317,1292,797
11,6,12.411666631698608,6.769999980926514,0,0.2967395782470703,1425,821,53,1518.0490769405317,1292,797
12,7,13.72615385055542,8.006923079490662,0,0.29772162437438965,1425,821,53,1518.0490769405317,1292,797
12,7,13.72615385055542,8.006923079490662,0,0.2995917797088623,1425,821,53,1518.0490769405317,1292,797
12,7,13.72615385055542,8.006923079490662,0,0.3042945861816406,1425,821,53,1518.0490769405317,1292,797
12,6,13.72615385055542,6.86307692527771,0,0.30431270599365234,1425,821,53,1518.0490769405317,1292,797
12,7,13.72615385055542,8.006923079490662,0,0.3060586452484131,1425,821,53,1518.0490769405317,1292,797
12,7,13.72615385055542,8.006923079490662,0,0.30758166313171387,1425,821,53,1518.0490769405317,1292,797
12,7,13.72615385055542,8.006923079490662,0,0.3137516975402832,1425,821,53,1518.0490769405317,1292,797
12,7,13.72615385055542,8.006923079490662,0,0.3138847351074219,1425,821,53,1518.0490769405317,1292,797
12,7,13.72615385055542,8.006923079490662,0,0.31389570236206055,1425,821,53,1518.0490769405317,1292,797
12,7,13.72615385055542,8.006923079490662,0,0.31546473503112793,1425,821,53,1518.0490769405317,1292,797
12,7,13.72615385055542,8.006923079490662,0,0.31764960289001465,1425,821,53,1518.0490769405317,1292,797
12,6,13.72615385055542,6.86307692527771,0,0.32338571548461914,1425,821,53,1518.0490769405317,1292,797
14,8,19.59999966621399,11.199999809265137,0,0.3234367370605469,1425,821,53,1518.0490769405317,1292,797
12,7,13.72615385055542,8.006923079490662,0,0.3235175609588623,1425,821,53,1518.0490769405317,1292,797
12,7,13.72615385055542,8.006923079490662,0,0.32617664337158203,1425,821,53,1518.0490769405317,1292,797
11,7,12.582307696342468,8.006923079490662,0,0.33209872245788574,1425,821,53,1518.0490769405317,1292,797
11,5,12.411666631698608,5.641666650772095,0,0.33266162872314453,1425,821,53,1518.0490769405317,1292,797
12,7,13.72615385055542,8.006923079490662,0,0.3326725959777832,1425,821,53,1518.0490769405317,1292,797
14,8,19.59999966621399,11.199999809265137,0,0.3335087299346924,1425,821,53,1518.0490769405317,1292,797
11,7,12.582307696342468,8.006923079490662,0,0.3356037139892578,1425,821,53,1518.0490769405317,1292,797
12,7,13.72615385055542,8.006923079490662,0,0.34174466133117676,1425,821,53,1518.0490769405317,1292,797
12,6,13.72615385055542,6.86307692527771,0,0.34175968170166016,1425,821,53,1518.0490769405317,1292,797
12,7,13.72615385055542,8.006923079490662,0,0.3417675495147705,1425,821,53,1518.0490769405317,1292,797
11,7,12.582307696342468,8.006923079490662,0,0.3485736846923828,1425,821,53,1518.0490769405317,1292,797
12,6,13.72615385055542,6.86307692527771,0,0.348712682723999,1425,821,53,1518.0490769405317,1292,797
12,7,13.72615385055542,8.006923079490662,0,0.3487246036529541,1425,821,53,1518.0490769405317,1292,797
11,7,12.582307696342468,8.006923079490662,0,0.3494455814361572,1425,821,53,1518.0490769405317,1292,797
12,6,13.72615385055542,6.86307692527771,0,0.3515026569366455,1425,821,53,1518.0490769405317,1292,797
11,7,12.582307696342468,8.006923079490662,0,0.35370755195617676,1425,821,53,1518.0490769405317,1292,797
12,6,13.72615385055542,6.86307692527771,0,0.36000967025756836,1425,821,53,1518.0490769405317,1292,797
10,7,11.28333330154419,7.898333311080933,0,0.3660457134246826,1425,821,53,1518.0490769405317,1292,797
11,6,12.411666631698608,6.769999980926514,0,0.3660585880279541,1425,821,53,1518.0490769405317,1292,797
11,6,12.411666631698608,6.769999980926514,0,0.36606574058532715,1425,821,53,1518.0490769405317,1292,797
11,7,12.582307696342468,8.006923079490662,0,0.3660726547241211,1425,821,53,1518.0490769405317,1292,797
10,6,11.100000143051147,6.6600000858306885,0,0.36607956886291504,1425,821,53,1518.0490769405317,1292,797
10,6,11.100000143051147,6.6600000858306885,0,0.3675105571746826,1425,821,53,1518.0490769405317,1292,797
11,6,12.411666631698608,6.769999980926514,0,0.3699667453765869,1425,821,53,1518.0490769405317,1292,797
10,6,11.100000143051147,6.6600000858306885,0,0.3716287612915039,1425,821,53,1518.0490769405317,1292,797
11,6,12.411666631698608,6.769999980926514,0,0.3772106170654297,1425,821,53,1518.0490769405317,1292,797
9,6,9.792000532150269,6.528000354766846,0,0.3772296905517578,1425,821,53,1518.0490769405317,1292,797
10,5,11.100000143051147,5.550000071525574,0,0.37752771377563477,1425,821,53,1518.0490769405317,1292,797
9,5,9.792000532150269,5.440000295639038,0,0.3795325756072998,1425,821,53,1518.0490769405317,1292,797
9,5,9.792000532150269,5.440000295639038,0,0.384840726852417,1425,821,53,1518.0490769405317,1292,797
9,5,9.792000532150269,5.440000295639038,0,0.3848557472229004,1425,821,53,1518.0490769405317,1292,797
